body_part_examined,snomed_code,code_meaning,fma_code,umls_cui
3RDVENTRICLE,49841001,Third ventricle,,C0149555
4THVENTRICLE,35918002,Fourth ventricle,,C0149556
ABDOMEN,818981001,Abdomen,,C5231290
ABDOMENPELVIS,818982008,Abdomen and Pelvis,,C5231291
ABDOMINALAORTA,7832008,Abdominal aorta,,C0003484
ACA,60176003,Anterior cerebral artery,50028,C0149561
ACJOINT,85856004,Acromioclavicular joint,,C0001208
ADRENAL,23451007,Adrenal gland,,C0001625
AMNIOTICFLUID,77012006,Amniotic fluid,,
ANKLE,70258002,Ankle joint,,C0003087
ANTCARDIACV,194996006,Anterior cardiac vein,,C0226662
ANTCOMMA,8012006,Anterior communicating artery,,C0149562
ANTECUBITALV,128553008,Antecubital vein,,C1276271
ANTSPINALA,17388009,Anterior spinal artery,,C0149603
ANTTIBIALA,68053000,Anterior tibial artery,,C0085816
ANUS,53505006,Anus,,C0003461
ANUSRECTUMSIGMD,110612005,"Anus, rectum and sigmoid colon",,C1267595
AORTA,15825003,Aorta,,C0003483
AORTICARCH,57034009,Aortic arch,,C0003489
APPENDIX,66754008,Appendix,,C0003617
ARTERY,51114001,Artery,,C0003842
ASCAORTA,54247002,Ascending aorta,,C0003956
ASCENDINGCOLON,9040008,Ascending colon,,C0227375
ATLANTOAXIAL,62555009,Atlantal-axial joint,,C0224585
ATLANTOOCCIPITAL,20292002,Atlanto-occipital joint,,C0004169
AXILLA,91470000,Axilla,,C0004454
AXILLARYA,67937003,Axillary Artery,,C0004455
AXILLARYV,68705008,Axillary vein,,C0004456
AZYGOSVEIN,72107004,Azygos vein,,C0004526
BACK,77568009,Back,,C0004600
BASILARA,59011009,Basilar artery,,C0004811
BILEDUCT,28273000,Bile duct,,C0005400
BILIARYTRACT,34707002,Biliary tract,,C0005423
BLADDER,89837001,Bladder,,C0005682
BLADDERURETHRA,110837003,Bladder and urethra,,C1268386
BRACHIALA,17137000,Brachial artery,,C0006087
BRACHIALV,20115005,Brachial vein,,C0226812
BRAIN,12738006,Brain,,C0006104
BREAST,76752008,Breast,,C0006141
BRONCHUS,955009,Bronchus,,C0006255
BULB,21479005,Carotid bulb,50094,C0007281
BUTTOCK,46862004,Buttock,,C0006497
CALCANEUS,80144004,Calcaneus,,C0006655
CALF,53840002,Calf of leg,,C0230445
CARDIOVASCSYS,113257007,Cardiovascular system,,C0007226
CAROTID,69105007,Carotid Artery,,C0007272
CARPUS,8205005,Carpus,,C0043262
CCA,32062004,Common carotid artery,,C0162859
CELIACA,57850000,Celiac artery,50737,C0007569
CEPHALICV,20699002,Cephalic vein,,C0226802
CEREBELLUM,113305005,Cerebellum,,C0007765
CEREBHEMISPHERE,372073000,Cerebral hemisphere,,C0228174
CEREBRALA,88556005,Cerebral artery,,C0007770
CERVIX,71252005,Cervix,,C0007874
CFA,181347005,Common femoral artery,323778,C0447105
CFV,397363009,Common femoral vein,323829,C1275667
