modality_code,description,dcm_system_uri,snomed_uri,radlex_uri
AR,Autorefraction,http://dicom.nema.org/resources/ontology/DCM,,
BDUS,Ultrasound Bone Densitometry,http://dicom.nema.org/resources/ontology/DCM,,
BI,Biomagnetic Imaging,http://dicom.nema.org/resources/ontology/DCM,,
BMD,Bone Mineral Densitometry,http://dicom.nema.org/resources/ontology/DCM,,
CFM,Confocal Microscopy,http://dicom.nema.org/resources/ontology/DCM,,
CR,Computed Radiography,http://dicom.nema.org/resources/ontology/DCM,,
CT,Computed Tomography,http://dicom.nema.org/resources/ontology/DCM,http://snomed.info/id/77477000,http://radlex.org/RID/RID10321
DG,Diaphanography,http://dicom.nema.org/resources/ontology/DCM,,
DMS,Dermoscopy,http://dicom.nema.org/resources/ontology/DCM,,
DX,Digital Radiography,http://dicom.nema.org/resources/ontology/DCM,,
ES,Endoscopy,http://dicom.nema.org/resources/ontology/DCM,,
GM,General Microscopy,http://dicom.nema.org/resources/ontology/DCM,,
IO,Intra-oral Radiography,http://dicom.nema.org/resources/ontology/DCM,,
IVOCT,Intravascular Optical Coherence Tomography,http://dicom.nema.org/resources/ontology/DCM,,
IVUS,Intravascular Ultrasound,http://dicom.nema.org/resources/ontology/DCM,,
KER,Keratometry,http://dicom.nema.org/resources/ontology/DCM,,
LEN,Lensometry,http://dicom.nema.org/resources/ontology/DCM,,
LS,Laser surface scan,http://dicom.nema.org/resources/ontology/DCM,,
MG,Mammography,http://dicom.nema.org/resources/ontology/DCM,,
MR,Magnetic Resonance,http://dicom.nema.org/resources/ontology/DCM,http://snomed.info/id/113091000,
NM,Nuclear Medicine,http://dicom.nema.org/resources/ontology/DCM,,
OAM,Ophthalmic Axial Measurements,http://dicom.nema.org/resources/ontology/DCM,,
OCT,Optical Coherence Tomography,http://dicom.nema.org/resources/ontology/DCM,,
OP,Ophthalmic Photography,http://dicom.nema.org/resources/ontology/DCM,,
OPM,Ophthalmic Mapping,http://dicom.nema.org/resources/ontology/DCM,,
OPT,Ophthalmic Tomography,http://dicom.nema.org/resources/ontology/DCM,,
OPTBSV,Ophthalmic Tomography B-scan Volume Analysis,http://dicom.nema.org/resources/ontology/DCM,,
OPTENF,Ophthalmic Tomography En Face,http://dicom.nema.org/resources/ontology/DCM,,
OPV,Ophthalmic Visual Field,http://dicom.nema.org/resources/ontology/DCM,,
OSS,Optical Surface Scanner,http://dicom.nema.org/resources/ontology/DCM,,
PA,Photoacoustic,http://dicom.nema.org/resources/ontology/DCM,,
PT,Positron emission tomography,http://dicom.nema.org/resources/ontology/DCM,,
PX,Panoramic X-Ray,http://dicom.nema.org/resources/ontology/DCM,,
RF,Radiofluoroscopy,http://dicom.nema.org/resources/ontology/DCM,,
RG,Radiographic imaging,http://dicom.nema.org/resources/ontology/DCM,,
RTIMAGE,RT Image,http://dicom.nema.org/resources/ontology/DCM,,
SM,Slide Microscopy,http://dicom.nema.org/resources/ontology/DCM,,
SRF,Subjective Refraction,http://dicom.nema.org/resources/ontology/DCM,,
TG,Thermography,http://dicom.nema.org/resources/ontology/DCM,,
US,Ultrasound,http://dicom.nema.org/resources/ontology/DCM,,
VA,Visual Acuity,http://dicom.nema.org/resources/ontology/DCM,,
XA,X-Ray Angiography,http://dicom.nema.org/resources/ontology/DCM,,
XC,External-camera Photography,http://dicom.nema.org/resources/ontology/DCM,,
